LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215300,Israel,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
,Population in region,,,,,,,,,,,,,,,,,,,,,
,Human Development Index,,,,0.869,0.872,0.877,0.877,0.878,0.881,0.885,0.886,0.888,,Israel,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,81.4,103.7,104.7,111.7,109.3,104,88.8,89.3,2.5,,,,Southern District,OECD,http://stats.oecd.org/,IL06: Southern District,,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,2539,2693,3157,3657,4410,4550,4727,5149,5436,6455,7237,,Israel,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,,,,,
,Number of Published Papers/ year ,,6524.7,6462,6322,6558.5,6632.2,6609.4,6306.2,6139.2,6096,,,,Israel,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity People,Number of STEM graduates/ year,,10593,11326,12163,11971,11385,11313,11654,12000,12363,13400,,,Israel,OECD,http://stats.oecd.org/,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,4.16508007,4.145999908,4.306879997,4.224589825,4.523230076,4.402959824,4.168010235,3.965009928,3.973510027,3.926270008,,,Israel,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",23360,24774,24408,25165,26963,26832,27116,28628,30182,31628,32491,,Israel,OECD,http://stats.oecd.org/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,6.62442506,,,5.44079093,6.359489031,6.07,5.02,,6.53,10.03507152,,Israel,GEM,http://www.gemconsortium.org/data/sets,under Adult Population Survey.  Download GEM 2001 - 2014 APS Global Key Indicators (Excel Format) and the variable is Teayy (Total Early-stage Entrepreneurial Activity),,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,6.43,120.00,222.49,10.00,3.15,,,,400.00,,Israel,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,19,19,19,19,19,19,19,19,19,20,13,13,Israel,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",23360,24774,24408,25165,26963,26832,27116,28628,30182,31628,32491,,Israel,OECD,http://stats.oecd.org/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,351940,371530,367300,375030,378470,392880,403400,422120,427420,472610,499310,,Southern District,OECD,http://stats.oecd.org/,Region and Cities > Large Regions(TL2) > Labour Statistics > Regional Labour Force,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Ashdod, Israel",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
