LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,5206300,5219730,5236610,5255580,5276960,5300480,5326310,5351430,5375280,5401270,5426670,5451270,Finland,OECD,http://stats.oecd.org/,,,,,
,Population in region,,5206300,5219730,5236610,5255580,5276960,5300480,5326310,5351430,5375280,5401270,5426670,5451270,Finland,OECD,http://stats.oecd.org/,,,,,
,Human Development Index,,,,0.869,0.874,0.877,0.878,0.873,0.877,0.879,0.879,0.879,,Finland,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,1291.58,1521.32,1464.4,1641.42,1595.82,1499.57,1495.65,1567.88,1539.78,,,,Finland,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Large Regions (TL2) > Innovation Indicators > Patents applications in regions > (then configure table filters),PCT Patent Applications by Moscow applicants,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,1935,2096,2032,2383,2444,2621,2610,2772,2551,2760,2869,,Finland,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",,,,
,Number of Published Papers/ year ,,4899.4,5018.7,4813.4,5088,4989.6,5112.5,4951.8,4868.5,4877.6,,,,Finland,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",,,,
iCapacity People,Number of STEM graduates/ year,,10793,11625,11763,11884,12444,16114,12658,16212,14274,14687,,,Finland,OECD,http://stats.oecd.org/,"stats.oecd.org > Education and Training > Education and Skills > Graduates by field of education > (add up ""Science"" and ""Engineering, manufacturing and construction"")",,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,3.439140081,3.450160027,3.476929903,3.475519896,3.471430063,3.700700045,3.938339949,3.900599957,3.796770096,3.548229933,,,Finland,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Research and development expenditure (% of GDP)""",,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46205.16601,50787.56498,47415.55987,49310.22922,49541.28822,Finland,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,90.55,9.84,48.7,,228.37,,,,1957.3,,,Finland,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,31,14,14,14,14,14,14,14,14,14,14,14,Finland,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46205.16601,50787.56498,47415.55987,49310.22922,49541.28822,Finland,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,2365000,2365000,2400800,2443500,2491600,2530900,2457300,2447500,2473700,2483200,2456700,2445930,Finland,OECD,http://stats.oecd.org/,stats.oecd.org > Labout > Labour Force Statistics > Annual Labour Force Statistics > Population and Labour Force,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,Finland,,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member,,,Pirjo Kutinlahti,Ministry of Employment and the Economy.,,,,,,,,,,,,,,,,,,
Team member,,,Veli-Pekka T Heikkinen,,,,,,,,,,,,,,,,,,,
