LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,China,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
,Population in region,,,,,,,,,,,,,,,,,,,,,
,Human Development Index,,,,0.645,0.657,0.671,0.682,0.693,0.701,0.71,0.715,0.719,,China,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,1696.27,2326.04,3852.3,5232.26,6496.57,6838.97,10584.8,13730.5,16243.7,,,,China,OECD,http://stats.oecd.org/,,,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,1034,1655,2127,3768,3903,4455,6879,8162,10545,13273,15093,,China,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,,,,,
,Number of Published Papers/ year ,,28767.9,34845.6,41603.6,49575.1,56811.2,65300.5,74034.4,79991.3,89894.4,,,,China,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity People,Number of STEM graduates/ year,,,,,,,,,,,,,,,,,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.133559942,1.229889989,1.32475996,1.388299942,1.395820022,1.469859958,1.701979995,1.758990049,1.836169958,1.983049989,,,China,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",1280.597181,1498.173796,1740.093186,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7593.881891,China,OECD,http://stats.oecd.org/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,12.91885584,,13.71311459,15.968241,16.42919993,,18.84,14.37,24.00575882,12.83,14.01723369,15.53208382,China,GEM,http://www.gemconsortium.org/data/sets,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,1.67,327,,369.55,1123.17,1452.68,777.23,1577.4,1771.33,4205.82,1057.61,22816.46,China,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,48,48,48,35,35,41,38,38,38,33,34.4,31.4,China,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",1280.597181,1498.173796,1740.093186,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7593.881891,China,OECD,http://stats.oecd.org/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,,,,,,,,,,,,,,,,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Hangzhou, China",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
