LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Population,Population in country,,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Population in region,,,7336900,7381900,7448200,7542600,7643000,7701600,7773500,7869900,7991200,8107100,8217500,8342000,8440000,8537300, London ,UK Govt,http://data.london.gov.uk/dataset/land-area-and-population-density-ward-and-borough/resource/cc4e7e08-3071-488f-bdd9-a62cb1ed1c5c,,
,Human Development Index,,0.863,,,,,0.888,0.885,0.887,0.89,0.89,0.895,0.891,0.89,0.892,,UK,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,
,Gini Coefficient,,0.352,0.34,0.335,0.335,0.331,0.335,0.339,0.341,0.342,0.345,0.341,0.344,,,,UK,OECD,http://stats.oecd.org/,"stats.oecd.org > country statistical profiles > Gini (at disposable income, post taxes and transfers)",
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,640,637,547.3,596.4,563,618.4,666.2,698.6,595.3,585.1,581,,,,,London,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Large Regions (TL2) > Innovation Indicators > Patents applications in regions > (then configure table filters),PCT Patent Applications by London applicants
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,7520,8359,8391,7700,7792,7962,8342,9164,9771,10568,11038,11279,12457,12807,,UK,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",
,Number of Published Papers/ year ,,48216.1,45588.2,44642.9,45232.1,45491.6,45658.1,46751.3,47139.7,46333.2,45689,45978,46035.4,,,,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",
iCapacity People,Number of STEM graduates/ year,,103751,121698,,126167,,118446,119534,118776,121270,122825,133470,144133,147866,,,UK,OECD,http://stats.oecd.org/,"stats.oecd.org > Education and Training > Education and Skills > Graduates by field of education > (add up ""Science"" and ""Engineering, manufacturing and construction"")",
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.09,0.99,1.09,1.01,1.01,0.91,1.04,1.02,0.98,1.01,0.99,1,,,,London,OECD,http://stats.oecd.org/,stats.oecd.org > Large Regions (TL2) > Innovation Indicators > R&D expenditure by sector,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,6.01366,6.4515,6.13846,6.14881,6.08398,6.19537,5.77349,4.95045,5.53459,5.47126,5.86404,,,,UK,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",41557.04,42162.46,42583.04,44359.4,45252.14,46935.13,47444.21,49255.33,48869.57,46752.26,46532.13,,,,,London,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Metropolitan areas > GDP from cities,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,6.5,5.4,6.4,6.2,6.2,5.8,5.5,5.9,5.7,6.4,7.3,9,7.1,,UK,GEM,http://www.gemconsortium.org/data,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,1384.58,4847.31,2971.36,8729.1,5194.05,12383.89,3814.76,6975.08,1560.63,4284.89,322.92,415.83,UK,VentureXpert,www.venturexpert.com/,,
eCapacity Policy,Number of days to start a business,,,,,13,13,12,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,6,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",41557.04,42162.46,42583.04,44359.4,45252.14,46935.13,47444.21,49255.33,48869.57,46752.26,46532.13,,,,,London,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Metropolitan areas > GDP from cities,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,5.43,5.48,5.54,5.53,5.57,5.63,5.75,5.78,5.93,5.95,6.01,6.14,6.17,,,London,OECD,http://stats.oecd.org/,stats.oecd.org > Region and Cities > Metropolitan areas > Labour market > Labour force,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
