LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Population,Population in country,,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Population in region,,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Human Development Index,,0.512,,,,,0.558,0.565,0.571,0.577,0.581,0.586,0.589,0.591,,,Morocco,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,104,,,,104,140,178,150,177,135,152,169,197,316,,Morocco,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin""",
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,1,,1,4,1,3,2,6,7,6,2,4,4,2,,Morocco,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",
,Number of Published Papers/ year ,,466.1,457.5,466,400.3,417.1,443.2,399.5,378.6,413.3,390.7,350.4,385.8,,,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",
iCapacity People,Number of STEM graduates/ year,,,,,,,,,,,,,,,,,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,,0.634729981,0.549549997,0.659089983,,,0.63568002,,,,0.733799994,,,,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Research and development expenditure (% of GDP)""",
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,3.5131,3.93069,4.02104,3.13502,3.72273,3.93588,2.90197,3.29788,3.46688,,,,,Morocco,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,
iCapacity Demand,GDP/capita,"GDP per capita, USD",1275.880346,1285.44743,1362.532449,1662.707186,1881.964721,1948.201997,2128.074688,2416.263549,2827.287803,2861.027067,2822.733739,3044.107888,2899.974924,3092.606545,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,,,1.04,4.07,2.97,,,,136.73,,,,,VentureXpert,www.venturexpert.com/,,
eCapacity Policy,Number of days to start a business,,,,,35,12,12,12,12,12,12,12,12,12,11,11,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",
eCapacity Demand,GDP/capita,"GDP per capita, USD",1275.880346,1285.44743,1362.532449,1662.707186,1881.964721,1948.201997,2128.074688,2416.263549,2827.287803,2861.027067,2822.733739,3044.107888,2899.974924,3092.606545,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,,,,,,,,,,,,,,,,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
