LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,4026500,4086800,4133200,4183900,4223100,4259100,4302000,4350100,4383300,4407400,4441500,4509100,New Zealand,OECD,http://stats.oecd.org/,,,,,
,Population in region,,4026500,4086800,4133200,4183900,4223100,4259100,4302000,4350100,4383300,4407400,4441500,4509100,New Zealand,OECD,http://stats.oecd.org/,,,,,
,Human Development Index,,,,0.894,0.896,0.899,0.899,0.903,0.903,0.904,0.908,0.91,,New Zealand,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,361.5,385.95,366.93,398.85,386.24,333.11,320.15,330.41,315.09,,,,New Zealand,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Large Regions (TL2) > Innovation Indicators > Patents applications in regions > (then configure table filters),,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,387,346,352,415,455,438,555,541,517,555,614,,New Zealand,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",,,,
,Number of Published Papers/ year ,,2799.8,2825.1,2987.2,3081.8,3175.8,3323.4,3188,3400.9,3471.8,,,,New Zealand,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",,,,
iCapacity People,Number of STEM graduates/ year,,6143,7176,7499,7640,7266,7871,8533,,9369,10442,,,New Zealand,OECD,http://stats.oecd.org/,"stats.oecd.org > Education and Training > Education and Skills > Graduates by field of education > (add up ""Science"" and ""Engineering, manufacturing and construction"")",,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.159850001,,1.129390001,,1.174479961,,1.282430053,,1.270900011,,,,New Zealand,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Research and development expenditure (% of GDP)""",,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",21941.05064,25461.13844,27833.60146,26630.35668,32382.26671,30972.12382,27998.56192,33394.06934,37896.85961,39573.81053,42408.96414,,New Zealand,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,,84.93,30.37,1.55,,38.02,149.44,,,New Zealand,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,12,12,12,12,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,New Zealand,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",21941.05064,25461.13844,27833.60146,26630.35668,32382.26671,30972.12382,27998.56192,33394.06934,37896.85961,39573.81053,42408.96414,,New Zealand,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,1910100,1973800,2046200,2099700,2126600,2153300,2162800,2139400,2174800,2216125,2262325,,New Zealand,OECD,http://stats.oecd.org/,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,New Zealand,,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,"New Zealand prides itself as a smart, innovative nation. From ground-breaking cancer research, award winning digital content, to world leading dairy nutrition, our products and services are exported around the world. But much of our potential in this area remains unrealised and fostering a high performing science and innovation sector is key to our future economic well-being. Innovation is the name of the game for New Zealand. Kiwi companies are working hard to be smart, think sharper and get to market faster. New Zealanders are an ingenious people. We have a strong heritage of developing great ideas borne out of practical neccessity, or inspired brilliance, or simply an instinct of what might work. Like other governments around the world, the New Zealand government continues to signal the importance it places on science and innovation as a key driver of our economic wellbeing. The Ministry of Business, Innovation and Employment's (MBIE) Science and Innovation Group has been charged with lifting our economic, environmental and social performance by driving the science and innovation sector. We do this through our strategic leadership and through the networks we build across government, research organisations, business and industry. MBIE is committed to growing the number of driven, successful entrepreneurs who are willing to help grow the innocation ecosystem in New Zealand. We support a number of programmes and initiatives that all contribute to this goal. We are partnering with people and organisations across the ecosystem to drive the growth of highly-skilled entrepreneurs.",,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,New Zealand aims to become the innovation-hub of the Asia-Pacific rim.,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,Biotech Innovation Cluster,,,,,,,,,,,,,,,,,,,
Industry cluster,,,High Tech Cluster,,,,,,,,,,,,,,,,,,,
Industry cluster,,,Automobile Innovation Cluster,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,University of Canterbury,,,,,,,,,,,,,,,,,,,
Research institute,,,University of Otago,,,,,,,,,,,,,,,,,,,
Research institute,,,University of Auckland,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
