LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Population,Population in country,,593693,611808,629745,660238,720383,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514,2168673,,Qatar,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Population in region,,593693,611808,629745,660238,720383,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514,2168673,,Qatar,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Human Development Index,,0.801,,,,,0.828,0.832,0.833,0.822,0.821,0.827,0.832,0.834,,,Qatar,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,
,Gini Coefficient,,,,,,,,,,,,,,,,,Qatar,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,,,,,,,,,,,,,3,9,,Qatar,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin""",
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,,,,2,3,,1,3,1,5,6,15,19,18,,Qatar,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",
,Number of Published Papers/ year ,,17.3,20.7,12.8,20.9,48.1,39,42.1,48.3,59.9,64.2,104.4,111.3,,,,Qatar,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",
iCapacity People,Number of STEM graduates/ year,,,,,,,,,,,,,,,,,Qatar,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,,,,,,,,,,,,,,,,Qatar,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,4.3143,5.19974,5.26186,5.08362,4.75443,4.89059,,,,,Qatar,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",29914.26478,28666.60951,30748.53426,35644.40479,44051.65727,54228.83171,62920.64413,69166.72167,84812.44171,62527.63527,71510.15575,88861.00147,92801.039,93714.06338,,Qatar,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
