LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",,,,
,Population in region,,5066790,5075850,5096770,5121130,5151080,5185980,5216920,5246560,5280580,5306260,5320120,5337460, Scotland ,OECD,http://stats.oecd.org/,,,,,
,Human Development Index,,,,0.888,0.885,0.887,0.89,0.89,0.895,0.891,0.89,0.892,,UK,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,0.335,0.331,0.335,0.339,0.341,0.342,0.345,0.341,0.344,,,,UK,OECD,http://stats.oecd.org/,"stats.oecd.org > country statistical profiles > Gini (at disposable income, post taxes and transfers)",,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,354.38,345.91,359.6,439.25,448.29,419.9,405.18,386.9,329.48,,,,Scotland,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Large Regions (TL2) > Innovation Indicators > Patents applications in regions > (then configure table filters),,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,7700,7792,7962,8342,9164,9771,10568,11038,11279,12457,12807,,UK,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",,,,
,Number of Published Papers/ year ,,45232.1,45491.6,45658.1,46751.3,47139.7,46333.2,45689,45978,46035.4,,,,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",,,,
iCapacity People,Number of STEM graduates/ year,,126167,,118446,119534,118776,121270,122825,133470,144133,147866,,,UK,OECD,http://stats.oecd.org/,"stats.oecd.org > Education and Training > Education and Skills > Graduates by field of education > (add up ""Science"" and ""Engineering, manufacturing and construction"")",,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.732489944,1.66929996,1.698160052,1.719409943,1.750609994,1.75375998,1.824769974,1.774479985,1.781450033,1.721079946,,,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,6.13846,6.14881,6.08398,6.19537,5.77349,4.95045,5.53459,5.47126,5.86404,,,,UK,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",32586.6428,38308.43637,39934.7836,42446.79557,48319.93195,45167.73523,37076.64525,38362.21712,40974.70814,41050.77194,41776.75948,45603.29237,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,6.4,6.2,6.2,5.8,5.5,5.9,5.7,6.4,7.3,9,7.1,,UK,GEM,http://www.gemconsortium.org/data,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,1384.58,4847.31,2971.36,8729.1,5194.05,12383.89,3814.76,6975.08,1560.63,4284.89,322.92,415.83,UK,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,13,13,12,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,6,UK,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",32586.6428,38308.43637,39934.7836,42446.79557,48319.93195,45167.73523,37076.64525,38362.21712,40974.70814,41050.77194,41776.75948,45603.29237,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,28007400,28261000,28666400,29040700,29260700,29520200,29058700,29125000,29282100,29596200,29952500,30641800,UK,OECD,http://stats.oecd.org/,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,Scotland,,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
