LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Population,Population in country,,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,,Korea,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Population in region,,,,,,,,,,,,,,,,, Seoul ,,,,
,Human Development Index,,0.839,,,,,0.875,0.882,0.89,0.895,0.898,0.905,0.907,0.909,,,Korea,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,
,Gini Coefficient,,,,,,,,0.306,0.312,0.314,0.314,0.31,0.311,0.307,,,Korea,OECD,http://stats.oecd.org/,"stats.oecd.org > country statistical profiles > Gini (at disposable income, post taxes and transfers)",
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,792.7,822.7,909.3,1097.4,1386.4,1705.6,1956.6,2188.4,2134.9,2492.6,2682.1,,,,,Seoul,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Small Regions (TL3) > Innovation Indicators > Patents applications in regions > (then configure table filters),PCT Patent Applications by Seoul applicants
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,5705,6720,7937,10411,13646,17217,21685,22976,23584,23950,26040,27289,29481,33499,,Republic of Korea,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",
,Number of Published Papers/ year ,,9571.8,11007.7,11734.5,13402.9,15255.6,16395.8,17909.9,18470.1,21090.8,22280.3,24106.4,25592.7,,,,Korea,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",
iCapacity People,Number of STEM graduates/ year,,94684,107631,107613,113630,117056,115584,113132,114150,130468,128202,127170,134211,132754,,,Korea,OECD,http://stats.oecd.org/,"stats.oecd.org > Education and Training > Education and Skills > Graduates by field of education > (add up ""Science"" and ""Engineering, manufacturing and construction"")",
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,2.295700073,2.473160028,2.404459953,2.485769987,2.682980061,2.791759968,3.009180069,3.210350037,3.360899925,3.561239958,3.737809896,4.039189816,,,,Korea,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Research and development expenditure (% of GDP)""",
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,4.01919,4.41503,4.47059,4.18897,4.46251,4.47011,6.02384,4.22452,4.17267,4.10158,4.04144,,,,Korea,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",394601.27,410154.06,454542.43,464624.23,478378.29,500060.66,528073.31,558791.83,565450.06,570691.81,589192.33,,,,,Seoul Incheon,OECD,http://stats.oecd.org/,stats.oecd.org > Regions and Cities > Metropolitan areas > GDP from cities,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,14.3,14.5,,,,,,10,7,6.6,7.8,6.6,6.9,,Korea,GEM,http://www.gemconsortium.org/data,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,11.82,827.6,583.7,203.21,182.55,120,37.52,115.83,205.29,,517.94,,Korea,VentureXpert,www.venturexpert.com/,,
eCapacity Policy,Number of days to start a business,,,,,17,17,17,17,17,17,14,14,7,4,4,4,Korea,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",
