LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Population,Population in country,,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200,,Singapore,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Population in region,,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200,, Singapore ,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Population, total""",
,Human Development Index,,0.826,,,,,0.852,,,,0.877,0.892,0.894,0.895,,, Singapore ,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,
,Gini Coefficient,,,,,,,,,,,,,,,,, Singapore ,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,516,523,624,626,641,569,626,696,793,750,895,1056,1081,1143,, Singapore ,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin""",
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,50,82,85,771,879,919,1143,1188,1266,1225,1540,1564,1688,1722,, Singapore ,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,"Indicator = ""Total patent applications"", Report type = ""Count by filing office and applicant's origin"" > select results with office = USA",
,Number of Published Papers/ year ,,2361,2434.3,2631.9,2939.4,3384.3,3611.2,3838,3793.3,4069.3,4187.8,4377.3,4542.8,,,, Singapore ,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Scientific and technical journal articles""",
iCapacity People,Number of STEM graduates/ year,,,,,,,,,,,,,,,,, Singapore ,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.851050019,2.057250023,2.097759962,2.048449993,2.132410049,2.194930077,2.164880037,2.364779949,2.643379927,2.200150013,2.053999901,2.229470015,2.096519947,,, Singapore ,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Research and development expenditure (% of GDP)""",
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,5.56917,5.71721,5.91597,5.65462,6.08184,6.10145,6.42507,6.26886,6.16012,6.08841,6.10183,,,, Singapore ,GCI,http://reports.weforum.org/global-competitiveness-report-2014-2015/rankings/,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",23793.03632,21576.86984,22016.71263,23574.00251,27404.57518,29869.63276,33578.888,39223.52995,39722.11492,38576.95914,46569.68843,52870.5448,54007.30365,55182.48279,, Singapore ,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,6.1,5.9,4.9,5.7,7.2,4.8,,,,,6.6,11.6,10.7,,  Singapore  ,GEM,http://www.gemconsortium.org/data,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,25.68,15,,,41.47,1542.74,13.5,425.38,,37.65,,, Singapore ,VentureXpert,www.venturexpert.com/,,
eCapacity Policy,Number of days to start a business,,,,,8,8,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,  Singapore  ,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",23793.03632,21576.86984,22016.71263,23574.00251,27404.57518,29869.63276,33578.888,39223.52995,39722.11492,38576.95914,46569.68843,52870.5448,54007.30365,55182.48279,,Singapore,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
