LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5136475,Norway,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
,Population in region,,,,,,,,,,,,,,,,,,,,,
,Human Development Index,,,,0.935,0.938,0.938,0.937,0.937,0.939,0.941,0.943,0.944,,Norway,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,61.5,64,86.4,59.2,93.1,102.9,119,104,4.5,,,,Western Norway,OECD,http://stats.oecd.org/,NO05: Western Norway,,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,449,525,541,562,693,827,905,936,977,1102,1169,,Norway,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,,,,,
,Number of Published Papers/ year ,,3130.5,3371.3,3651.2,3896.2,4081.9,4299.9,4440.1,4460.9,4777.1,,,,Norway,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity People,Number of STEM graduates/ year,,5017,4933,4937,5198,5246,5348,5380,6052,6796,6856,,,Norway,OECD,http://stats.oecd.org/,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.71,1.57,1.51,1.48,1.59,1.58,1.76,1.68,1.65,,,,,,,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",38993,43196,48359,54723,56866,62432,56183,58770,62736,66365,65639,,Norway,OECD,http://stats.oecd.org/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
