LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,Japan,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
,Population in region,,,,,,,,,,,,,,,,,,,,,
,Human Development Index,,,,0.873,0.877,0.879,0.881,0.88,0.884,0.887,0.888,0.89,,Japan,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,1443.3,1583.3,1614.3,1613.6,1635.1,1617.4,1772.8,2159,56,,,,"Northern-Kanto, Koshin",OECD,http://stats.oecd.org/,"JPC: Northern-Kanto, Koshin",,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,60350,64812,71994,76839,78794,82396,81982,84017,85184,88686,84967,,Japan,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,,,,,
,Number of Published Papers/ year ,,57231.2,56538.4,55527.3,54469.4,52910.6,51842,49631.9,47043.1,47105.7,,,,Japan,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity People,Number of STEM graduates/ year,,163320,161891,162056,162621,162586,160993,159115,153883,155139,157040,,,Japan,OECD,http://stats.oecd.org/,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,3.03,3.01,3.17,3.24,3.31,3.39,3.21,3.16,,,,,Japan,OECD,http://stats.oecd.org/,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",29026,30592,31782,33460,34887,34410,33443,34791,36474,37488,,,Japan,OECD,http://stats.oecd.org/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,2.757943663,1.478156208,2.200970952,2.902194815,4.340087993,5.418927563,3.26,3.3,5.215463114,3.99,3.724536202,3.82780918,Japan,GEM,http://www.gemconsortium.org/data/sets,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,470.28,40.87,382.43,2391.37,16654.26,7491.85,154.84,130.72,1.83,1.21,8.68,,Japan,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,31,31,30,22,22,22,22,22,11,11,10.7,10.7,Japan,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",29026,30592,31782,33460,34887,34410,33443,34791,36474,37488,,,Japan,OECD,http://stats.oecd.org/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,5400000,5400000,5410000,5450000,5380000,5360000,5310000,5280000,5230000,5150000,5200000,,"Northern-Kanto, Koshin",OECD,http://stats.oecd.org/,Region and Cities > Large Regions(TL2) > Labour Statistics > Regional Labour Force,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Tokyo, Japan",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
