LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Population,Population in country,,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,64510376,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
,Population in region,,,,,,,,,,,,,,,,,,,,,
,Human Development Index,,,,0.888,0.885,0.887,0.89,0.89,0.895,0.891,0.89,0.892,,UK,UNDP,http://hdr.undp.org/en/content/human-development-index-hdi-table,,,,,
,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,
REAP Index*,Work in progress,,,,,,,,,,,,,,,,,,,,,
I-cap Performance,Number of Patents Filed/ year (domestic),,147.8,144.6,132.9,163.8,193.2,140.3,157.5,134.3,1.5,,,,Wales,OECD,http://stats.oecd.org/,UKL: Wales,,,,
I-cap Performance,Number of Patents Filed/ year (patents filed in the US),,7700,7792,7962,8342,9164,9771,10568,11038,11279,12457,12807,,UK,WIPO,http://ipstats.wipo.int/ipstatv2/index.htm?tab=patent,,,,,
,Number of Published Papers/ year ,,45232.1,45491.6,45658.1,46751.3,47139.7,46333.2,45689,45978,46035.4,,,,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
iCapacity People,Number of STEM graduates/ year,,126167,,118446,119534,118776,121270,122825,133470,144133,147866,,,UK,OECD,http://stats.oecd.org/,,,,,
iCap Funding,Gross R&D Expenditure/ GDP,Gross R&D expenditure as % of GDP,1.73,1.67,1.7,1.72,1.75,1.75,1.82,1.77,1.78,,,,UK,OECD,http://stats.oecd.org/,,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",22138,23936,24940,26703,26915,26233,25725,25084,26008,26373,27134,,Wales,OECD,http://stats.oecd.org/,,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,6.4,6.2,6.2,5.8,5.5,5.9,5.7,6.4,7.3,9,7.1,,UK,GEM,http://www.gemconsortium.org/data/sets,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,1384.58,4847.31,2971.36,8729.1,5194.05,12383.89,3814.76,6975.08,1560.63,4284.89,322.92,415.83,UK,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,13,13,12,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,6,UK,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",22138,23936,24940,26703,26915,26233,25725,25084,26008,26373,27134,,Wales,OECD,http://stats.oecd.org/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
